date,quantitative_only,equal_weight,benchmark
2021-12-09,139063.17515024618,138159.61199565255,126125.14878417549
2021-12-10,141537.31194972649,139491.75866728998,127329.52707974252
2021-12-13,139578.05640863747,138201.93499461084,126166.22317844033
2021-12-14,137048.7721912374,136566.36210101933,125223.67600391137
2021-12-15,139976.47480274277,139686.97819987847,127270.89084199342
2021-12-16,136304.05303725292,136111.9694989755,126158.10857758172
2021-12-17,135013.54366340942,135405.3533338421,124860.23424675592
2021-12-20,134009.9291463388,133690.63373983232,123438.31867581325
2021-12-21,136494.52161040824,136421.3458721116,125632.79702638803
2021-12-22,138856.6888430529,137680.96847739271,126911.76367748962
2021-12-23,139412.07445245623,138406.51120926716,127701.62441114716
2021-12-27,141776.91171978312,140586.49818603817,129468.87892237045
2021-12-28,140995.2079154108,140242.3581825702,129338.09530658083
2021-12-29,141053.87863736623,139810.1374897349,129519.41375373388
2021-12-30,140280.41877673092,139348.29821344922,129132.18236186607
2021-12-31,139174.09584421956,137779.47616328343,128793.05801834058
2022-01-03,139973.64400529145,139149.42971853988,129613.99173577382
2022-01-04,138407.75415954844,137566.98544941284,129532.3839206347
2022-01-05,133221.76684624844,132994.6362964971,127020.39377321154
2022-01-06,132305.6058159325,132828.30053440042,126897.97545326642
2022-01-07,132100.54042107044,132558.2459989207,126384.01114880187
2022-01-10,132645.00104532638,132413.27136905605,126201.88783879942
2022-01-11,133812.1957298507,134279.50453640104,127357.89519656533
2022-01-12,134938.44114102013,134824.68449097374,127716.7584716103
2022-01-13,131228.00232254228,131446.48484903912,125897.6100983107
2022-01-14,132550.15636957076,132792.17517429878,126000.84365459984
2022-01-18,129451.74750764699,129344.99511386517,123683.94698407994
2022-01-19,128494.5296201323,128364.22667094179,122485.50620133632
2022-01-20,127182.76486938338,126597.74711315126,121133.5873093448
2022-01-21,124692.65662773082,122664.72610933986,118842.3670831678
2022-01-24,124810.65380941816,123424.1050619697,119171.76710013588
2022-01-25,121846.48462540994,120302.38472239791,117721.21952291162
2022-01-26,123727.12603448807,120762.7734865113,117545.03372573254
2022-01-27,124020.86004972455,121030.16942660976,116912.16083112512
2022-01-28,129096.66256855914,125567.34164145817,119758.69683996332
2022-01-31,131242.95324085475,128723.17259885797,122020.45380806344
2022-02-01,131748.45823350816,129706.07398457437,122857.88061667272
2022-02-02,136221.85052898419,132475.46639356646,124015.51089461034
2022-02-03,131256.81437653612,121067.11297038851,120990.63838950374
2022-02-04,132285.9551129936,124630.86927024378,121614.57862593024
2022-02-07,129920.17841036069,122381.54517372623,121164.39640366168
2022-02-08,131161.68659344135,123395.48096484818,122182.32360210166
2022-02-09,133266.94454936206,125509.89466979561,123956.06979401184
2022-02-10,130069.28824205548,122900.72231966573,121710.51563868306
2022-02-11,126660.7710045882,119271.6328192092,119401.7335690218
2022-02-14,127141.32313833362,119710.75162654591,118943.15966196287
2022-02-15,129132.2999858099,121448.60925954604,120818.50329551753
2022-02-16,129407.55354193212,121506.22259280681,120924.96949767717
2022-02-17,125492.62769178984,117929.16129119342,118364.60841245289
2022-02-18,123995.24753085527,116577.08832069303,117516.38852497799
2022-02-22,123105.12887342066,115258.94303020374,116324.42622844831
2022-02-23,120291.47735853508,112368.04336055668,114182.64660279927
2022-02-24,124856.57808867647,116796.68036932136,115890.46001342405
2022-02-25,126338.79225603324,118324.99203369404,118483.23991866398
2022-02-28,126814.12368529142,118607.658694981,118193.83234917959
2022-03-01,125375.55611504169,116611.75156177794,116364.95964932258
2022-03-02,127101.52632999515,118259.75925459065,118534.315723418
2022-03-03,126186.00808484836,116536.13513254351,117911.45743377265
2022-03-04,123965.39559943406,114589.83133125644,116975.94291332117
2022-03-07,119616.99637676844,109514.3346365535,113523.02851154075
2022-03-08,119020.42919123262,109226.53188756673,112701.8309046487
2022-03-09,124121.79394843623,113558.12707546527,115598.07049305501
2022-03-10,122368.648673541,113311.42155368025,115101.94511600646
2022-03-11,119788.07979631351,110825.59143941972,113610.04606058558
2022-03-14,116931.54687489544,108581.57285942396,112766.94562861173
2022-03-15,120542.854724785,112102.48244983485,115181.12514812444
2022-03-16,124123.13990021631,116230.3743364285,117759.31196629182
2022-03-17,124793.15603081005,117654.09658955128,119213.38246779129
2022-03-18,127192.43344102729,120543.57538822103,120603.6840815677
2022-03-21,127362.52362309529,120114.91815851197,120551.26244057374
2022-03-22,130177.24727845678,122764.10776525049,121913.98760590379
2022-03-23,129458.87956280577,121734.07848593596,120417.77395783126
2022-03-24,132160.6373048276,123957.3780307475,122145.03602157085
2022-03-25,132366.66838434758,124461.61802395199,122763.84360802335
2022-03-28,133409.61166758146,125957.3144567578,123640.98578018456
2022-03-29,135261.758782295,127753.01078218273,125156.39738638602
2022-03-30,134510.29003369407,126668.05038515774,124368.70054629077
2022-03-31,131986.47784222753,124142.16990595637,122422.01439754499
2022-04-01,132373.89162625044,124743.6811600397,122839.50071586613
2022-04-04,135187.98197221768,128019.9645687345,123833.38758460792
2022-04-05,132984.1938117797,125902.41209978312,122279.0654777039
2022-04-06,129272.61232056604,122044.20664380208,121090.88999490824
2022-04-07,129407.65349547083,121934.07784338186,121605.93624615397
2022-04-08,127485.08579463956,120248.35354524328,121283.55568879041
2022-04-11,123381.96861431074,116727.33037041056,119236.61793464013
2022-04-12,123111.15481782428,116233.24079366786,118829.13302680814
2022-04-13,125283.91519630437,118278.66187212222,120156.99839462848
2022-04-14,121875.78747332202,115238.71906588417,118697.79524315501
2022-04-18,122197.7560297327,115662.13814684786,118673.47782952504
2022-04-19,124274.79788863365,118336.97766265419,120579.08958400598
2022-04-20,123563.2132988409,115533.5718483724,120504.51442294434
2022-04-21,121461.42924922478,112148.11641167404,118726.71752784132
2022-04-22,117769.5555884872,108975.94784330428,115433.23194260511
2022-04-25,119983.01382444816,110867.7383725631,116090.96322423307
2022-04-26,115539.59803286697,106675.4515367505,112823.43116727147
2022-04-27,115958.01246699973,106055.67122746569,113060.14001183015
2022-04-28,120340.57165859989,112748.117072765,115858.02799893547
2022-04-29,115492.84930680731,106451.59444388465,111654.17655867297
2022-05-02,117353.76498383691,108647.65517702952,112287.84112165686
2022-05-03,117555.06970441439,108840.00963079637,112830.99160026657
2022-05-04,121884.85268458669,112766.73279574653,116200.3981828044
2022-05-05,115808.02503828687,106237.42303675575,112057.88784724388
2022-05-06,115334.39171369335,105236.01985644652,111422.04619622478
2022-05-09,111466.11623378804,101320.14663714984,107852.4068895732
2022-05-10,113325.39003679379,102545.26217559939,108117.49704542766
2022-05-11,109589.2019620778,99084.17978564816,106337.53625676232
2022-05-12,107678.37239437982,98543.40267709561,106199.72658413173
2022-05-13,110729.59390219254,102032.29935083912,108734.68171170841
2022-05-16,109934.01120533275,101315.94014083772,108305.5710627264
2022-05-17,112306.94850897334,103657.47195524226,110490.05460004848
2022-05-18,106899.19808986664,98217.22911261882,106026.78003005966
2022-05-19,105465.11089224464,97327.4447365432,105408.24293030244
2022-05-20,105084.65494407222,97325.46631814878,105423.64747746087
2022-05-23,108392.26213690518,99455.14365214166,107379.78746606875
2022-05-24,105847.32407397064,95794.87682422821,106507.77794388153
2022-05-25,106347.45054520814,96737.71212871156,107514.3578955924
2022-05-26,108370.73323760991,99374.52667771725,109652.09341528508
2022-05-27,112253.24291727938,102644.00668830998,112365.1343441443
2022-05-31,112305.12329486145,103409.18219369091,111660.11407149637
2022-06-01,112349.86740886165,103173.9552925484,110824.58726699057
2022-06-02,114469.88582630047,106113.78074461353,112867.19723401626
2022-06-03,111327.35151084333,102989.81295057466,111022.12172138788
2022-06-06,112015.34133939768,104203.60151715804,111370.44261255313
2022-06-07,113303.42334712697,104747.34954378611,112431.06712542969
2022-06-08,112792.09344787942,104284.85106733274,111217.49228222291
2022-06-09,109728.7471090697,100473.97598306116,108570.66121858083
2022-06-10,105405.4916543699,96124.17340364162,105410.13633716945
2022-06-13,101000.83313596471,91474.6892181862,101323.55077516868
2022-06-14,101606.95530547798,91534.72878277814,100941.18814381605
2022-06-15,104311.01119801187,94535.45231082613,102414.17292227624
2022-06-16,100780.35936491833,90998.90586713141,99084.48830052682
2022-06-17,101929.9441996975,92359.9490638781,99302.55995205657
2022-06-21,105046.40733955006,93930.80264028124,101733.2127710359
2022-06-22,104797.51587414426,93720.15740658737,101600.7996378381
2022-06-23,106689.53995147749,95609.10755311928,102569.28054893231
2022-06-24,110541.71103806183,99705.09039053775,105704.13558323726
2022-06-27,109517.5177939204,98473.04366478955,105389.86962673231
2022-06-28,105994.3023246164,94609.13168793503,103266.99768080749
2022-06-29,107001.16748698735,95699.45307392548,103193.49786929053
2022-06-30,105057.72143902908,93838.37612039807,102289.5973060053
2022-07-01,106036.58727113894,94747.64179253629,103369.14269307902
2022-07-05,108530.743064391,97772.82923095363,103532.89269951131
2022-07-06,109742.67011909508,98761.00197813296,103902.83273459013
2022-07-07,112105.34533388239,100752.10994825335,105457.6958148847
2022-07-08,112295.2947097358,100598.96818513934,105370.13729244929
2022-07-11,110159.7698390153,97836.93807860363,104155.48709969784
2022-07-12,108414.0270217309,96493.90648674828,103192.68640920467
2022-07-13,107536.1800068357,96148.47432504158,102732.76666590579
2022-07-14,108218.81395855268,95894.59556271312,102424.70870891951
2022-07-15,109551.81945153905,97853.5547729012,104391.39108140714
2022-07-18,107712.90281771675,97105.92081331024,103518.30620967521
2022-07-19,110923.40123720668,100635.75515331395,106378.34016433188
2022-07-20,112072.31954445662,102787.9380594186,107005.52624110182
2022-07-21,113209.63660791866,103706.54245301269,108060.74761730908
2022-07-22,110390.21580647172,100088.90738896166,107052.27425873121
2022-07-25,109707.36805748151,99222.38018496324,107193.06588224646
2022-07-26,107505.03367725435,96110.53800628992,105955.71459880029
2022-07-27,113584.89285498933,101740.39818217565,108727.12127871331
2022-07-28,115034.82790689204,101777.82397800605,110046.34426675741
2022-07-29,117798.41894638167,105214.32633872512,111609.8563240647
2022-08-01,116771.03739936664,104782.32515626897,111294.77231023741
2022-08-02,115975.51572014693,104240.48852525128,110553.28251438099
2022-08-03,119649.23413207724,108114.14156711292,112282.1674982923
2022-08-04,119849.74202551178,108890.65338314914,112194.88605978865
2022-08-05,119410.95638126564,107941.59989007682,112012.48566585446
2022-08-08,118886.14011490338,107853.03658824119,111873.864533138
2022-08-09,118960.15302783143,107412.91615241015,111398.54683991712
2022-08-10,122103.37661428635,111097.52799283521,113770.29293445211
2022-08-11,121323.79423038235,110252.31758337916,113690.03095555297
2022-08-12,123802.05341476518,112452.31668017997,115659.41159775699
2022-08-15,124412.69972330042,112776.80768304368,116118.52647820649
2022-08-16,124167.28052254877,112692.02852969052,116336.32764304096
2022-08-17,123758.85716500146,111413.54979940315,115494.30915784824
2022-08-18,123651.90917760825,111393.51220168443,115756.430557291
2022-08-19,121442.61807424243,108694.57450298847,114263.1724711572
2022-08-22,118260.90100876277,105583.89395915171,111817.93316234177
2022-08-23,117859.94858754377,105178.48719218337,111567.69998301873
2022-08-24,117830.73010280119,105450.2151312303,111893.04929679398
2022-08-25,119837.95130462047,107812.16036858723,113469.80200769739
2022-08-26,114747.13120393749,103087.74209164995,109647.2246547699
2022-08-29,113459.58320812062,101921.27152176166,108916.2772427932
2022-08-30,112324.88696382352,100913.39213658663,107715.13159309671
2022-08-31,111536.4767321471,100908.86034267496,106873.11970514049
2022-09-01,111782.96870216986,101668.13974960058,107193.33636894175
2022-09-02,110423.2866828905,100031.13869583067,106042.45506391337
2022-09-06,109320.67177492408,99012.67086346091,105608.2051677209
2022-09-07,111247.58901169113,100827.7148369815,107545.16698990925
2022-09-08,111018.0891881712,100729.80291470248,108256.11817814411
2022-09-09,113558.68742989058,103412.48838832504,109909.34605421266
2022-09-12,116117.65003582489,104881.24611031509,111072.65655275132
2022-09-13,108998.47546170652,97805.44770672593,106270.25104200051
2022-09-14,109784.26650749547,98208.48316389733,106630.18966659019
2022-09-15,107446.12989766231,96314.2577423544,105423.37699076558
2022-09-16,106260.80933085839,95188.41850516586,104666.21216105543
2022-09-19,107453.39871101429,96101.1559386321,105383.918919436
2022-09-20,107114.24060220447,95259.8537980025,104196.02052057208
2022-09-21,104876.08313535275,93161.89064161842,102412.55000210452
2022-09-22,104681.91589641034,93244.05030323104,101549.4599436253
2022-09-23,102783.51693089622,91589.83392373503,99799.49678919098
2022-09-26,103043.92023106985,91208.60664389771,98767.517477069
2022-09-27,102924.47817505772,90768.65543243427,98558.09480255196
2022-09-28,104117.41669014483,92823.53688119352,100496.9434343709
2022-09-29,100899.56275868848,89957.72337813114,98373.80100175078
2022-09-30,98693.43883984293,88346.26800671236,96891.63287012377
2022-10-03,101675.68027630405,90866.00579079232,99399.56571711763
2022-10-04,105064.53962319571,93536.46999272997,102439.57228268737
2022-10-05,105131.95066608499,93369.12962520019,102232.8544751232
2022-10-06,104385.56686031276,92970.52178982,101185.4706158428
