date,quantitative_only_gross,quantitative_only_net,equal_weight_gross,equal_weight_net,benchmark
2024-01-08,154089.14264086218,152207.27461209637,148211.25943957912,147882.57598557984,128721.71550314946
2024-01-09,154189.781604316,152306.68448669597,149029.28525342897,148698.7876892806,128531.4775922884
2024-01-10,157276.56845460535,155355.7728633251,151602.2225458013,151266.01905944853,129259.73333178517
2024-01-11,157284.40118253673,155363.50993130266,151832.28604082976,151495.5723498915,129172.9928666721
2024-01-12,158307.53436250892,156374.14773627595,152609.1100440378,152270.6736149116,129269.99863173316
2024-01-16,156500.195863378,154588.88199633092,151479.3228633461,151143.39192775823,128787.64828443484
2024-01-17,156111.05222723665,154204.49091416516,150840.3195104799,150505.80567255334,128064.26130545323
2024-01-18,159548.79164548925,157600.24572667875,153556.6894514127,153216.15160520296,129191.90054639631
2024-01-19,162115.26747461077,160135.37756409097,155998.58377521834,155652.63061667886,130782.70537098173
2024-01-22,162298.80859086645,160316.67711969724,155853.69829879006,155508.06644822005,131069.68515744504
2024-01-23,163527.03269371355,161529.90110227827,157003.63217496287,156655.4501521609,131452.58876218824
2024-01-24,164562.69193304758,162552.91198769328,158178.16845289888,157827.3816978914,131559.3188538067
2024-01-25,165183.17621018348,163165.81838164103,159373.76490779853,159020.3267160927,132251.3689595538
2024-01-26,164958.15896220805,162943.54923620954,159446.54567052613,159092.94607520924,132165.1694678313
2024-01-29,166498.2714478252,164464.8525546283,161087.31826840783,160730.07998324555,133163.9119026153
2024-01-30,164896.79020905463,162882.92997060952,159457.10554650315,159103.48253288108,133083.9270076479
2024-01-31,160889.95886979505,158925.03347299277,153990.0106903109,153648.51188120252,130940.5112673542
2024-02-01,163186.18713964664,161100.32342836293,156290.093036017,155934.1368812915,132576.4411893973
2024-02-02,176417.68782225705,174162.69762053047,165784.23823924878,165406.6588366686,133992.9470264342
2024-02-05,173670.78170555245,171450.9027585685,164416.61452471826,164042.14993299445,133566.0002710145
