date,quantitative_only_gross,quantitative_only_net,equal_weight_gross,equal_weight_net,benchmark
2023-11-30,150894.09656922525,149216.46464612233,144487.24713539428,144175.65764072808,123432.36796851693
2023-12-31,155809.47917254467,153998.42922068687,149747.37714897576,149421.065768786,128891.68670357336
2024-01-31,160889.95886979505,158925.03347299277,153990.0106903109,153648.51188120252,130940.5112673542
2024-02-29,178403.4658647026,176123.09323061453,166574.45616298364,166195.07701143617,137712.83839369958
2024-03-31,180179.81799110773,177757.99984710422,168809.50241113792,168403.25673135841,141984.52261935093
2024-04-30,168727.26745548003,166433.49933952047,163855.28828258262,163452.50621230813,136075.82652487533
2024-05-31,177405.64219636723,174839.50250901995,175376.8172436023,174931.60068814625,142610.34966540796
2024-06-30,191016.49531978925,188196.8242691951,189610.26003081247,189120.97810425443,147554.62214921866
2024-07-31,180589.69491810616,177845.68707379067,183597.33815355875,183120.67457981282,149225.13478483973
2024-08-31,180512.08670770552,177621.21568468813,184927.47931307048,184437.51914577917,152632.64700523068
2024-09-30,189753.32857585847,186453.18651332875,192637.96429293515,192114.32797486745,155715.35088523699
2024-10-31,184662.04865497438,181401.3078299828,190230.4996094277,189706.89435648418,154174.27602916557
2024-11-30,189405.7432523779,185933.8856710212,198236.9470295101,197683.96592281916,163008.66177565148
2024-12-31,197811.59669046215,194065.61171614795,208064.93246507464,207474.39087326342,158935.05297778803
2025-01-31,210443.4720349731,206397.71877896113,219105.87849885898,218473.57384137248,163228.89072350707
2025-02-28,196772.9086244788,192908.7848779643,205151.91114295006,204539.01368157472,160904.16973053323
2025-03-31,176367.7251959508,172844.57459687753,185985.81916133998,185412.96665737918,151644.98792771698
2025-04-30,170015.2955219689,166533.2112905219,184435.23392762663,183860.6397544823,150488.70348601934
2025-05-31,183281.585570055,179504.6396174656,202354.5236942961,201712.32445719925,159747.34431544502
2025-06-30,200721.05323752627,196401.68511494342,216127.6010311333,215422.0846164272,167671.90518029523
2025-07-31,213088.37619377815,208437.52919683396,228583.49752863377,227826.15561731928,171304.77899851574
2025-08-31,205874.16970045285,201377.47832960426,233780.9184667708,232998.99735506694,174570.95202476444
2025-09-30,215576.3492517503,210658.32668373824,243859.96605412863,243018.14844257847,180737.44173155818
2025-10-31,221562.56324659786,216366.09794641638,254265.34515096192,253365.23908904553,184837.80892054568
2025-11-30,227287.78125670052,221792.40728358272,258197.30437079817,257253.26054279789,185078.0274949066
2025-12-31,222759.01241546206,217244.03034883886,255376.2867003051,254421.49503434898,184981.02172984555
